title,address,area,bathrooms,bedrooms,parking_spots,extra_contents,rent,fee
Apartamento com 4 Quartos à Venda/Aluguel 150m²,"Rua Irmã Maria David, 154 - Casa Forte, Recife - PE",150,5,4,3,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Churrasqueira']",5.500,"
                      R$ 1.250
                  "
"Apartamento com 2 Quartos para Aluguel, 54m²","Boa Viagem, Recife - PE",54,2,2,1,"['Mobiliado', 'Piscina', 'Garagem', 'Cozinha', 'Salão de jogos']",3.000,
"Casa com 11 Quartos para Aluguel, 10m²","Rua do Cupim, 70 - Graças, Recife - PE",10,4,11,4,"['Garagem', 'Quintal', 'Cozinha', 'Área de serviço']",7.900,
"Apartamento com  Quarto para Aluguel, 34m²","Rua Regueira Costa, 1 - Rosarinho, Recife - PE",34,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",1.900,
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua José de Holanda, 485 - Torre, Recife - PE",55,2,2,2,"['Elevador', 'Garagem', 'Churrasqueira', 'Playground', 'Cozinha']",2.200,
"Apartamento com 3 Quartos para Aluguel, 81m²","Rua Antônio Falcão, 979 - Boa Viagem, Recife - PE",81,3,3,2,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",4.500,
"Apartamento com 2 Quartos para Aluguel, 64m²","Rua dos Navegantes, 1455 - Boa Viagem, Recife - PE",64,1,2,2,"['Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira', 'Condomínio fechado']",3.000,
Apartamento com 2 Quartos para Venda/Aluguel 87m²,"Rua José Trajano - Boa Viagem, Recife - PE",87,2,2,--,,2.300,
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Maria Carolina, 378 - Boa Viagem, Recife - PE",55,1,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",2.500,
"Apartamento com 2 Quartos para Aluguel, 59m²","Rua Antônio Falcão, 1013 - Boa Viagem, Recife - PE",59,2,2,1,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Churrasqueira']",2.500,
"Apartamento com 3 Quartos para Aluguel, 100m²","Boa Viagem, Recife - PE",100,2,3,1,"['Mobiliado', 'Elevador', 'Ar-condicionado', 'Área de serviço', 'Armário na cozinha']",3.449,
"Apartamento com 3 Quartos para Aluguel, 79m²","Rua Professor Souto Maior, 33 - Casa Amarela, Recife - PE",79,3,3,1,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Churrasqueira']",2.500,
"Apartamento com 4 Quartos para Aluguel, 355m²","Avenida Boa Viagem, 3136 - Boa Viagem, Recife - PE",355,5,4,4,"['Piscina', 'Elevador', 'Salão de festas', 'Jardim']",7.000,"
                      R$ 2.700
                  "
"Apartamento com 2 Quartos para Aluguel, 140m²","Rua Phaelante da Câmara, 67 - Boa Viagem, Recife - PE",140,2,2,2,"['Piscina', 'Elevador', 'Academia', 'Churrasqueira', 'Condomínio fechado']",5.000,
"Apartamento com  Quarto para Aluguel, 30m²","Boa Viagem, Recife - PE",30,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",1.599,
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Maria Carolina - Boa Viagem, Recife - PE",55,2,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",2.500,
"Apartamento com  Quarto para Aluguel, 55m²","Rua Bartolomeu de Gusmão, 186 - Madalena, Recife - PE",55,1,1,1,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Churrasqueira']",2.100,"
                      R$ 650
                  "
"Apartamento com 2 Quartos para Aluguel, 46m²","Rua Antônio Falcão, 141 - Boa Viagem, Recife - PE",46,1,2,1,,3.000,
"Apartamento com 4 Quartos para Aluguel, 150m²","Rua Amazonas - Boa Viagem, Recife - PE",150,5,4,2,"['Piscina', 'Elevador', 'Academia', 'Churrasqueira', 'Condomínio fechado']",6.750,"
                      R$ 1.000
                  "
"Apartamento com 4 Quartos para Aluguel, 200m²","Rua Setúbal, 278 - Boa Viagem, Recife - PE",200,1,4,3,"['Piscina', 'Elevador', 'Varanda', 'Ar-condicionado', 'Salão de festas']",6.000,
"Apartamento com 4 Quartos para Aluguel, 135m²","Rua Francisco da Cunha, 1810 - Boa Viagem, Recife - PE",135,5,4,2,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Churrasqueira']",3.200,"
                      R$ 1.050
                  "
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Jonathas de Vasconcelos, 0 - Boa Viagem, Recife - PE",55,2,2,1,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Churrasqueira']",2.000,
"Apartamento com 3 Quartos para Aluguel, 115m²","Boa Viagem, Recife - PE",115,3,3,2,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",3.859,
"Apartamento com 3 Quartos para Aluguel, 140m²","Avenida Boa Viagem, 000 - Boa Viagem, Recife - PE",140,3,3,1,,5.500,
"Apartamento com 2 Quartos para Aluguel, 60m²","Rua General Artur Oscar, 30 - Encruzilhada, Recife - PE",60,2,2,1,"['Piscina', 'Elevador', 'Academia', 'Playground', 'Salão de festas']",2.200,
"Apartamento com 3 Quartos para Aluguel, 103m²","Rua José Aderval Chaves, 144 - Boa Viagem, Recife - PE",103,3,3,2,"['Elevador', 'Condomínio fechado', 'Salão de festas']",2.500,"
                      R$ 900
                  "
"Apartamento com  Quarto para Aluguel, 32m²","Rua Estácio Coimbra, 171 - Paissandu, Recife - PE",32,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",1.750,"
                      R$ 1.750
                  "
"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Souza de Andrade - Graças, Recife - PE",100,3,3,--,,2.200,
"Apartamento com 3 Quartos para Aluguel, 98m²","Boa Viagem, Recife - PE",98,3,3,2,"['Piscina', 'Elevador', 'Churrasqueira', 'Salão de festas', 'Jardim']",3.729,
"Apartamento com 4 Quartos para Aluguel, 235m²","Avenida Boa Viagem, 2294 - Boa Viagem, Recife - PE",235,5,4,4,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Condomínio fechado']",13.000,"
                      R$ 1.950
                  "
"Apartamento com  Quarto para Aluguel, 33m²","Rua do Futuro, 180 - Graças, Recife - PE",33,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",1.800,
Apartamento com 3 Quartos à Venda/Aluguel 118m²,"Avenida Conselheiro Aguiar, 4405 - Boa Viagem, Recife - PE",118,1,3,1,"['Elevador', 'Condomínio fechado', 'Aceita animais']",1.220,"
                      R$ 780
                  "
"Apartamento com 4 Quartos para Aluguel, 180m²","Rua dos Navegantes, 2111 - Boa Viagem, Recife - PE",180,4,4,1,"['Elevador', 'Condomínio fechado', 'Playground', 'Salão de festas', 'Aceita animais']",2.800,"
                      R$ 1.347
                  "
"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Conde de Irajá, 160 - Torre, Recife - PE",58,2,2,1,,2.500,
"Apartamento com 4 Quartos para Aluguel, 200m²","Rua Laete Lemos, 106 - Boa Viagem, Recife - PE",200,4,4,3,"['Elevador', 'Condomínio fechado']",4.500,
"Apartamento com 3 Quartos para Aluguel, 75m²","Boa Viagem, Recife - PE",75,2,3,1,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",2.400,
"Apartamento com 2 Quartos para Aluguel, 75m²","Rua do Futuro, 1 - Graças, Recife - PE",75,2,2,1,,2.600,
"Apartamento com  Quarto para Aluguel, 33m²","Rua Faustino Porto, 571 - Boa Viagem, Recife - PE",33,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",3.000,
"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Amazonas, 196 - Boa Viagem, Recife - PE",60,1,2,1,"['Piscina', 'Elevador', 'Ar-condicionado', 'Salão de festas', 'Aceita animais']",2.600,
"Apartamento com 3 Quartos para Aluguel, 72m²","Rua Demócrito de Souza Filho, 323 - Madalena, Recife - PE",72,3,3,2,"['Piscina', 'Elevador', 'Varanda', 'Condomínio fechado', 'Salão de festas']",1.200,"
                      R$ 700
                  "
