property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,10,1,1,1,Boa Viagem,1750,0,0,0,1,0,1.2644979036650392,-8.1266931,-34.9099144
apartment,60,2,2,1,Iputinga,1130,0,0,0,1,0,7.157442407419012,-8.0329322,-34.9315897
apartment,57,1,2,1,Iputinga,1192,0,0,1,0,1,7.277778996984733,-8.0404255,-34.9330606
apartment,210,3,4,3,Boa Viagem,6500,0,0,0,0,0,0.0938971282652827,-8.1199395,-34.8957061
apartment,180,4,4,3,Boa Viagem,9615,0,0,0,0,1,0.030947768686880064,-8.1364165,-34.9016825
apartment,119,3,3,2,Parnamirim,4250,0,1,0,0,1,4.620483066668919,-8.0344855,-34.908601
apartment,79,2,3,1,Várzea,1300,0,0,0,0,0,9.756044350405977,-8.0489853,-34.9596983
apartment,126,3,3,1,Jaqueira,2900,0,0,0,0,0,3.9299401168994366,-8.0350924,-34.9023628
apartment,152,4,4,3,Paissandu,4190,0,0,0,0,1,3.2267417803533243,-8.0648682,-34.90154485949357
apartment,85,2,3,1,Torre,1140,0,0,0,0,0,4.459669787948076,-8.0459628,-34.9070714
apartment,75,2,2,1,Bongi,1030,0,0,0,1,0,4.869912954100828,-8.064328199999999,-34.917845916564175
apartment,32,1,1,1,Paissandu,1800,0,0,0,0,1,3.25811236839663,-8.0610083,-34.8990999
apartment,100,3,3,0,Graças,2200,0,0,0,0,0,3.7594089150901127,-8.0434395,-34.9009809
apartment,220,4,4,2,Boa Viagem,4900,0,0,0,0,0,0.14188605881771835,-8.11935455,-34.8957389390247
apartment,60,2,2,1,Pina,2500,0,1,0,0,1,0.9871099227246227,-8.0868628,-34.8897746
apartment,100,2,3,1,Tamarineira,2300,0,0,1,0,0,3.835352845447469,-8.0324159,-34.9010191
apartment,35,1,1,1,Boa Viagem,1500,0,0,0,0,0,0.7515783819224551,-8.1139123,-34.8991564
apartment,230,6,4,3,Boa Viagem,14500,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,52,1,1,1,Torre,1600,0,0,0,1,1,4.466907903324882,-8.0441326,-34.9073618
apartment,69,2,2,1,Boa Viagem,1912,0,0,0,0,0,0.7227681149373681,-8.1175024,-34.900879
apartment,128,3,2,2,Boa Viagem,2811,0,0,0,0,0,0.5072901894123507,-8.1244477,-34.9016372
apartment,76,1,2,1,Boa Viagem,2000,0,0,0,0,0,0.2640857008710735,-8.1328479,-34.9027547
apartment,34,1,1,1,Rosarinho,1900,0,1,0,0,1,3.518761685133717,-8.0337288,-34.898359
apartment,87,3,3,2,Boa Viagem,2800,0,0,1,0,1,1.0515493927636685,-8.1270868,-34.9079663
apartment,40,1,2,1,Torre,1210,0,0,0,0,0,4.46405658427687,-8.0425107,-34.9074638
apartment,90,2,2,1,Pina,2100,0,1,0,0,0,1.1981077866653391,-8.0963033,-34.8946884
apartment,235,5,4,4,Boa Viagem,14950,0,0,0,0,1,0.18139385663278404,-8.1107418,-34.8899321
apartment,73,2,2,1,Boa Vista,1400,0,0,0,1,0,2.593780749696376,-8.0600101,-34.8887692
